Rank,Name,Active,Visits,Favourites,Likes,Dislikes,Rating
#1,BloxFruits,483372,41346317182,13574097,8521670,676846,92.64
#2,Brookhaven🏡RP,474141,55635148446,22117653,6108763,955845,86.47
#3,DressToImpress💜,297764,3876511994,3182036,2042092,188403,91.55
#4,PETSGO!✨[NEW],172411,145691211,199254,275267,20140,93.18
#5,MurderMystery2,159531,18310453247,19306585,8001198,786705,91.05
#6,[UPDATE1]AnimeVanguards,142586,534044793,578491,1592383,52159,96.83
#7,TheStrongestBattlegrounds,142531,8747773201,4177434,2931689,565313,83.83
#8,PetSimulator99!🎃,131088,1527851114,1479726,2586908,106245,96.05
#9,AdoptMe!,109439,37679655130,26994071,7323639,1441230,83.56
#10,BerryAvenue🏠RP,77150,4495186748,2309040,681793,99257,87.29
#11,🎃DOORS👁️,70116,5714365246,6688592,3888476,289280,93.08
#12,🎃RIVALS,63878,1247731942,13213395,2751053,118321,95.88
#13,[TENSHADOWS]JujutsuShenanigans,63255,966867976,943813,747236,133201,84.87
#14,🦇AnimeDefenders,63015,3031330440,683248,1940077,59410,97.03
#15,🎟️Dandy'sWorld[ALPHA],58744,419230503,361526,211995,17131,92.52
#16,(UPDATE7)KingLegacy,48482,3160603105,2277534,1338140,135726,90.79
#17,[🎃]Fisch,44174,23455912,149970,74557,9433,88.77
#18,[⚔️PVP]ToiletTowerDefense,42748,5053264586,1116753,1143631,163039,87.52
#19,FiveNightsTD[ENDLESS],38875,386846247,235250,206878,15767,92.92
#20,✨🎃Evade🎃✨,37301,5225026775,5355653,2116112,130103,94.21
#21,LifeTogether🏠RP(UPDATE33),36427,1100346999,3249898,405470,32053,92.67
#22,[UPD]BladeBall,34558,4482377254,9966828,6487048,444810,93.58
#23,CatalogAvatarCreator,33714,2850460040,3421954,1390908,123278,91.86
#24,BeeSwarmSimulator,31885,2983678381,5954749,2317866,123885,94.93
#25,🎃CreaturesofSonaria🐲SurviveKaijuAnimals,31040,988137128,3626207,702610,72945,90.59
#26,HeroesBattlegrounds,30567,609308166,832980,516804,97962,84.07
#27,WelcometoBloxburg,30204,8998091859,13559019,5308107,714569,88.14
